text,hate_speech
The temple is visible from a distance,0
Thakur ji is everywhere,0
The temple is seen in front. Where did the tomb come from,0
Aslam Alaikum Baccho,0
First time watching transgenders in uniform,0
The issue of stealing vote is to wander with the issue of temple and mosque,0
Is it okay to do all these in 4 days life?,0
All these riots will be done by Rahul Gandhi and the voice of the people of the country will be suppressed,1
They won't improve,0
All the temples have given the task of finding these unemployed in the mosque,1
"Binod watching police? They can jump on this uniform. If the uniform is removed, they will all go home in 15 minutes",0
Long live Hindu leader Yogi Adityanath,0
Thief,1
Then Modi and Tadipaar should have been removed earlier,0
Vote thief,1
Do something else. There is a lot to do. Whatever,0
Hail Rahul Gandhi,0
"In that case, you should be asked to leave first",0
Look who is talking,0
Education is required. He should be at least a graduate to become CM,0
"Vote thief, car thief",1
No one is happy like he has caught everyone,0
Then you will be the first to go inside,0
"Cases on Amit Chachu include Sohrabuddin Sheikh & Kauser Bi fake encounter, Tulsiram Prajapati killing, Ishrat Jahan encounter, extortion, misuse of police",0
"Cases on Mudi Ji include 2002 Gujarat Riots, Zakia Jafri petition, fake encounter cases, election cheating, FIRs & complaints",0
Vote thief,1
"Lie, lie, lie – The method of Modi ji",1
"Government, police, ED, judge are mine; I can jail anyone and deny bail",1
"Whenever he is exposed for malpractices, he passes controversial bills to divert attention and changed election rules",0
First you resign,0
"Let him speak, just don’t show his face please",0
Vote thief PM PM,1
Kejriwal never got this? Why?,0
I feel sad for people who chose her as CM,0
She looks like Anganwadi worker,0
It was a great plan to get Z-plus security,0
It was a good stunt,0
"When you work without compassion and empathy, why expect it in return?",0
Total waste of our tax payments,0
"Oh, the whole thing was about getting Z-plus security, now it makes sense",0
For a slap?,0
Everything was a drama to get Z-plus security,0
Come at your own risk,0
What will the NSG's response be to a slap? Headshot?,0
Waste of taxpayers’ money,0
Primary subjects of government,0
"We love him and adore him, wishing him good health",0
Uncle Pandu,0
Could not build a good hospital in 25 years,0
One of the most lovable leaders I have ever seen,0
"They both love each other and need each other, they have love affairs",0
-,0
Pandu never leaves Naveen Patnaik,0
Do politicians have no retirement age?,0
Great to see VK Pandian Sir,0
Pandu again,0
"It's not about hospitals, it's about doctors",0
"Even after 25 years as CM, could not make a good government hospital, still going private for treatment",0
"Naveen, Pandiyan",0
Naveen is good but Pandiyan literally,0
Speaker is the biggest puppet of the government,1
System has been sold to BJP,1
BJP's speaker,1
Why was he smirking while introducing the bills?,0
Vote thief,1
Look how shamelessly he is smiling,0
What is wrong with this bill?,0
"Birla, Modi's puppet",1
"Pass the bill, arrest opposition leaders on fake allegations, detain them, move towards one-party rule",1
Speaker puppet,1
But what happened to the vote theft?,0
Speaker was an RSS member earlier,0
Om Birla puppet,1
"Lok Sabha speaker, BJP speaker",1
Silent emergency,0
Did your parents teach you this?,0
Remove that bald guy,0
End of democracy,1
Full support to this bill,0
Vote thief,1
Puppet,1
#vote thief BJP,1
Remove him first,0
"Salute to the guy throwing papers, enjoyed it once more",0
Please change the speaker and elect an honest speaker,0
"Nonsense, this is nonsense",0
"Birla loves Modi, Modi loves Birla",0
Vote thief,1
Two-thirds majority needed may not happen,0
Vote thief,1
"Opposition always shouts, they have no work",0
We need a stronger opposition. Put BJP in opposition,0
Speaker is a slave,1
The public of every state must wake up and fight,0
Most hateful face,1
No more law and order,1
Phase 1 of dictatorship,1
"Vote for BJP, vote thief BJP",1
Then people ask why India is not like China,0
Why are all pappu supporters so upset over just a smirk,0
"If BJP does it, it's fine; if others do it, it's wrong",0
People are fine having a criminal as CM and PM? We are doomed,1
Thief makes noise,1
No one should accept this; Birla supports him because BJP,1
This rule ensures ED will file false cases on opposition and detain them for 30 days,1
Vote thief BJP,1
First step towards dictatorship,1
"People don't want BJP government; poor are exploited, police cannot do their job due to politicians",1
"If they have serious crime charges, they should not be in power",0
Mamta needs to go; she will face threats for WB issues,0
Diversionary tactics,0
"To divert from vote theft, they will arrest opposition members using false cases, moving towards dictatorship",1
Revolution is coming fast,0
New laws are affecting criminals,0
You never saw the slow poisoning; this is what you can see,0
"Speaker, BJP puppet",1
You were not sent there to support wrong things,0
Taripar bill is being made; the country is amazing. This bill is about stopping vote theft,0
"Agent of BJP, #OmBirla",1
This is a very wrong bill,0
Pappu with his team of comedians,0
Don’t know why speaker is BJP’s biggest puppet,1
Thief's smile,1
"Remove BJP to save country, PM resign",1
"Vote thief, bald guy",1
I don’t understand the rage; arrests go to court in 24 hours for judgment,0
They are sitting to rule the country; is this how they will do it?,0
Policymakers eating our taxes and making laws for themselves makes no sense,0
Sellout speaker,1
Send Tadipaar to jail,1
BJP shame on all for this drama to stay in power,1
The bill isn’t bad; it applies to both ruling and opposition members; mature discussion needed,0
What about those who harmed the country's dignity?,1
"Papers shouldn’t have been thrown, should have thrown stones",1
"The speaker is not a speaker, looks like a mouthpiece",1
BJP played their biggest card; bill will pass but opposition was confused,0
Really speechless to see such spineless puppet,1
Surrender yourself,0
"Congress is like fish trapped in a net, struggling",0
Saved from being hit on the face,0
"That calm face, wait, let him go home",0
"British Viceroys jailed Gandhi, Nehru; now Amit Shah wants Rahul Gandhi in jail",0
As expected,0
Broker / Sellout,1
"My friend ""DOLAAND""",0
This makes no sense,0
NATO and US gave weapons and funds to Ukraine; comedy show continues,0
How will imposing sanctions on India end Russia-Ukraine war?,0
Sanctions?,0
"Ram fired, hit Shyam, killed Ghanshyam",0
India should put tariffs on USA for trading with Russia,0
Who is smoking this stuff?,0
Reason why the world does not trust USA,0
Trump will be happy only after getting the Nobel Prize,0
Polished,0
"Say ""Namaste Trump""",0
"There is a Ukraine-Russia war, why ban India? Which law?",0
Russia gave India 5% discount on oil,0
"The war is not Russia-Ukraine, it's US government vs its citizens",0
"She is wiping his mess, Trump should have asked Putin directly",0
"Hypocrisy has limits, Modi should respond",0
Boycott USA,0
"They were told the same story, puppets",0
He imposed sanctions on India over US diary product denial,0
"If you listen carefully, you’ll realize how ridiculous it is",0
Trump’s team is funnier than Biden’s team,0
Sanctions haven’t stopped India from importing oil,0
Why did US fund NATO in Ukraine against Russia?,0
"Who cares, ban American goods; India is strong now",0
Dolaaaaan Dump,0
Anything,0
"Next job, naughty America",0
"Sanctions on India aren’t new, US has backstabbed Pakistan",0
"Proud of Modi; India is on the right path, shameful for US",0
"If so, Modi should get the Nobel Peace Prize",0
"Then give us cheap oil from Russia, Uncle Trump",0
US never says anything about China,0
Why isn't Anurag Thakur filing an affidavit?,0
"Supreme Court asked about deleted voter lists, should they also file affidavit or apologize?",0
No one trusts Election Commission now,0
Vote theft by EC and BJP,1
But vote theft happened,1
Vote thief EC,1
I stand firmly with Rahul Gandhi,0
They didn’t answer Rahul Gandhi’s questions,0
VOTE THEFT,1
Election Commission betrayed its principles,0
Modi EC vote thief,1
"Fair enough, show the CCTV footage, will you?",0
"Multiple voter cards issued, BJP agents vote for absent voters; Rahul Gandhi’s claims match reality",1
Vote thief EC is a BJP puppet,1
@ecisveep what about videos showing person voting 5 times?,0
"Gyanesh wrong, Jhutesh correct",0
"Apologize, your press conference seems political",0
Sold Election Commission,1
Watchman is a thief,1
"EC must prove Rahul Gandhi wrong but fails, shifting responsibility back",0
Why did you delete all EC data immediately?,0
Even then I stand with Rahul Gandhi,0
EC broker,1
Still vote thief,1
How do people with invalid addresses get voter IDs while valid ID holders are denied?,0
"The commission is neither neutral nor opposition, only ruling party",0
Either come clean or provide evidence,0
"First investigate, then take action if proven wrong",0
This Chief Election Commissioner damaged the system,0
Why fear showing CCTV footage if correct,0
"CEC is confidently lying, why so confident?",0
Counter allegations aren’t answers; CEC must be accountable,0
"Accusations are against the institution, not voters",0
EC must prove allegations wrong,0
"It’s okay about home number, but why father’s name?",0
"CEC proved himself a joker, statements childish",0
Thief,1
You are spreading misinformation EC,1
"Grow a spine and step down, you don’t deserve to be there",0
"Allegations are against EC, not voters",0
"Submit affidavit with proof and conduct open press conference, not scripted",0
CEC sold out,1
"Don’t worry, BJP will win whether vote theft happens or not",1
You will host the Indian national flag at Red Fort,0
15 Aug 2029 Red Fort,0
Red Fort will be yours,0
Happy Independence Day to all except BJP and gang; they are anti-nationals,1
Release digital data and CCTV footage of Election Commission,0
Happy Independence Day,0
Real hero of India,0
Real Pappu spotted,0
Servant of Pakistan or USA,1
Hail Congress and Rahul Gandhi,0
They create their own happiness,0
Pappu,0
Real Ironman,0
Next PM - Indian voters wish you well. Praising Rahul Gandhi’s work and wishing good health,0
All dogs stay away from Red Fort; what if they are put in shelter,1
Next PM of India,0
Divide and rule policy is in their blood,1
Rahul Gandhi will be next PM of India,0
Congress supporters wait till 3029 to enter Red Fort,1
"Finally, got mother’s permission",0
Only Rahul Gandhi,0
But Congress’s Independence Day was yesterday,0
"Ask for national anthem, they will panic",1
"Make him PM once, he will change the country",0
Zero of India,1
They always want division,1
"Happy Independence Day to all Indians, wishing peace and prosperity. From Pakistan",0
He doesn’t even know the national anthem,1
"He is not Congress leader, he is leader of opposition",0
BJP will come in 2029,1
All traitors together,1
"Shame for national unity, set aside politics and show unity",0
Real vote thief,1
They don’t care about India’s independence,1
Seeing Rahul Gandhi supporters shows how easy it is to manipulate Indians,0
All look like corrupt politicians,0
"Poor Pappu has been dreaming; madrasa supporters think he will become something, 55-year-old youth",0
"Even the President did it in rain, not a big deal",0
"If Nitish loses in Bihar, he will become PM this year",0
Next PM of India,0
Only Rahul Gandhi,0
How can we risk children’s safety because of dogs?,0
Support Menka Gandhi,0
"Animal activists think dogs live luxuriously on roads, but shelters are poor. Is this logical?",0
Save our street dogs,0
They never protested against meat shops?,0
"Constitution emphasizes compassion for all beings, not just humans",0
What are the main causes of deaths from stray animals and how do they compare to other incidents? What measures can help?,0
"Take stray dogs home, problem solved, money saved",0
Save stray dogs,0
Free rabies vaccine drives can prevent deaths. Dogs shouldn’t be blamed; humane measures must be used,0
Save stray dogs,0
#SaveDogs,0
"Maybe not your child, but someone else’s child",0
"CM Rekha, please resign",0
Many stray dogs in our city want adoption. Take them home and care for them,0
History will remember those who stood for love in hard times,0
Pack 100 dogs each,0
Save stray dogs,0
"Support SC directive to relocate stray dogs with safety and humane treatment, prioritizing children",0
Full support to Supreme Court,0
"If you like stray dogs, take them home. Feeding on streets makes them aggressive and unsafe",0
#SaveDelhiDog,0
"Don’t be inhumane. This world is for all beings, not just humans",0
"Make rabies vaccine free for dogs and humans, educate people",0
BJP must be opposed for government to respond. Solicitor General Mehta fights for animals,0
"Maneka Gandhi, SC judgement is irrational; bench will hear it again, please be patient",0
Who is responsible for shelters and upkeep? Why is SC ignoring more important cases?,0
"What about rapists? Oh yes, for bail, sorry",0
No voice for the voiceless,0
"Great decision, people can adopt strays if they want",0
Mass protest needed,0
Sudden animal lover commenting “how many wellness societies do you have?”,0
Leash the judges,1
Why no orders to clean the garbage in Delhi?,0
Most awaited verdict,0
"Shame, some humans are worse than animals, judges live luxuriously while animals suffer",0
There are many stray politicians,0
"Lol, who is adopting you?",0
"Thank God, finally",0
Removing voiceless won’t fix failures,0
"PETA India, please appeal",0
"Good initiative, much needed",0
"Safety of children is important, but humane solutions like sterilization and vaccination work better",0
Dog lovers prioritize dogs over children,0
Was rescuing chickens for empathy or just a stunt?,0
Streets are home for strays; removing them is cruel. Empathy matters for all lives,0
"Real love for animals is in action, not words. Government shelters protect dogs, not harm them",0
"Roads, waterlogging, unsafe conditions exist, but animals prioritized first",0
It’s just heinous,0
"Seriously, is this really the main issue?",0
"Dog capture delayed 8 weeks, pounds will be set up; correct news should be published",0
"Sterilize and vaccinate strays, humane treatment needed, shelters required. Court should consider proportionality",0
Supreme Court level declining day by day,0
Supreme Court has lost wisdom,0
"Good move, dangerous to society",0
Decision is biased; constitution protects animals from cruelty,0
"About rapists and molesters, they are free in public despite danger",0
Humans only care about themselves,0
Why don’t dog lovers adopt stray dogs?,0
"SC should focus on bigger issues: backlog, pollution, jails, privacy, corruption, disasters, public interest",0
Children will feel safe on streets again,0
Differently abled people face issues with stray dogs; court decision provides safety,0
Excellent move,0
"Supreme Court made a strong move, animal lovers community upset",0
Many serious issues ignored; animals suppressed in pounds; justice delayed,0
Stray dog attacks are minor compared to other issues,0
Hate Delhi,1
"Trump jealous of India buying Russian equipment; India downed Pakistani jets, Pak nominated Trump for peace prize",0
Jai Hind,0
"Yawn, counting 6 enemy planes is slow compared to counting Rs 1000/500 notes",0
"Rahul: This cannot be, Trump is right. Now how can I support Pakistan?",0
"Come on, the world is laughing at us",0
All this drama is to distract from vote theft news,0
"Forget Pakistan, focus on America, now opening 50% tariff",0
Proud of our IAF,0
Took months to announce how many Pakistani jets were downed,0
"Rahul pressured Modi, Air Chief misled media claiming 10-12 jets destroyed",0
"Took so long, even a BJP supporter doubts this",0
India should have shared info via IAF earlier to build strong narrative,0
This is a new distraction from ECI,0
"After 3 months, he is claiming",0
Indians also don’t believe these statements,0
Is he on drugs?,0
Does PAF know this?,0
Very high,0
"Smart way to divert attention from vote theft, BJP trick",0
We believe Trump more than our army and sources,0
Please don’t use this topic diversion,0
So The Hindu won’t carry Pakistan propaganda anymore?,0
"His face and body language is weak, looks like he just woke up from hibernation",0
Vote thief,1
IAF chief mentioned US F-16s but not Chinese aircraft,0
"Nice try, done to distract from voter list fraud",0
Gandhi ji the legend,0
Mahatma Gandhi,0
The 7th and 8th slides are spectacular with powerful imagery,0
Mahatma Gandhi brilliant personality,0
BJP/RSS - quit India,1
"From Quit India to Partition, credit goes to Gandhi & Congress",0
RSS had no role in Quit India then and none in nation-building today,0
Time to start August Revolution to fight the dictator (vote thief),1
Not a single RSS member to be seen,0
What has Congress done for the country?,0
Hope Mamata Banerjee stays quiet from our state,1
Any single guy here,0
"Hindu Mahasabha, Muslim League, Shyama Prasad opposed Quit India; Gandhi always hero. Jai Hind",0
From Quit India to now Quiet India movement,0
Where is BJP and Veer Savarkar?,0
Gandhi is original gangster,0
"RSS opposed Quit India movement, that is history",0
"He is Gandhi for India, Mahatma for Pakistan, Bangladesh, China, Britain",0
People around Gandhi had no bodyguards; Modi calls himself poor leader and stays 1 km away,0
Gandhi had no work literally,0
Let’s quit Gandhi now,1
Why is Modi not in this picture?,0
They divide,0
"Not Quit India, but Quiet India movement",0
"Photoshop of freedom fighters, 4-5 million people died in Partition, who is remembered?",0
This will be shown in US soon,0
Attempt to improve Gandhi's image; Gandhi responsible for not saving Bhagat Singh,0
Gandhi is a British slave,1
"What happened to SSC and other exams, tell us",0
What acting,0
"Such a liar, here is the recent bridge collapse list",0
Thief bro,1
Just full of slogans,0
"SSC exam? Floods? Rape cases? Development? Basic needs like water, electricity?",0
"Only boasting, nothing else; just enjoying PM post",0
Vote thief,1
"Modi ji, don’t you feel ashamed speaking",1
"Go away, liar",1
"Who made him PM, how did India vote",0
Liar Ram tea seller,1
"18% GST on health insurance, what are you doing",0
You are ruining the country one by one,1
Fool PM,1
Thief,1
Thief,1
"Modern India leaders, look at Prayagraj, it’s under your modernization",0
"Remove Modi, save the country",1
Roads and flyovers collapse daily even before opening,0
I just throw,0
"Who are these buildings for, people or party",0
"Stop nonsense, I am fed up hearing you",0
Give justice to Sakshi Malik; you are just a loudmouth,1
This man always delivers a speech,0
"Now everywhere people say Modi is vote thief, shame on him",1
I throw one by one,0
"Bridges, highways, airports, metro collapsing; only corruption is visible",0
"Speak about education; schools closed, SSC exams delayed, jobs sold, this is developed India",0
Vote thief,1
"Sir, your friend Donald Trump is creating problems for India",0
Liar,1
"Kartavya Bhavan ends decades of loot; ₹1,000–1,500 crore saved annually, taxpayers win",0
Catch the vote thief,1
Keep lying again and again,1
Modi = Mode of Developing India,0
One press conference will clarify everything @narendramodi,0
How can you lie so much? Don’t you feel ashamed?,1
"How have you fooled the public? You just speak, don’t deliver anything",0
"Modi ji, please update on SSC exam, people waiting for results",0
"Stop old speech, talk about employment, not religion or humans",0
Loot of millions and cutting forests,0
